vendor_name,product,category,unit_price,delivery_days,warranty_years,rating,location
TechGlobal,ThinkPad X1,laptops,5500.0,3,3,4.8,Dubai
ComputeFast,MacBook Pro 16,laptops,11000.0,5,1,4.9,Dubai
OfficeDepot,Dell Latitude,laptops,4500.0,2,3,4.5,Abu Dhabi
ScreenPro,LG UltraWide 34,monitors,2000.0,2,2,4.6,Dubai
VisionTech,Dell UltraSharp 27,monitors,1500.0,3,3,4.7,Sharjah
KeyMaster,Logitech MX Keys,keyboards,400.0,1,1,4.9,Dubai
TypingPro,Keychron K8,keyboards,350.0,2,1,4.5,Dubai
ErgoChairCo,Herman Miller Aeron,office chairs,4500.0,14,12,4.9,Dubai
ComfortSit,Steelcase Leap,office chairs,3800.0,10,10,4.8,Dubai
CheapSeats,Basic Mesh Chair,office chairs,400.0,1,1,3.5,Ajman
SoftLicenses,Microsoft 365,software licenses,360.0,0,0,4.8,Global
AdobeDist,Adobe Creative Cloud,software licenses,2200.0,0,0,4.7,Global
DeskSpace,Standing Desk Pro,office desks,2500.0,5,5,4.6,Dubai
AppleStore,MacBook Air M2,laptops,4500.0,1,1,4.8,Dubai
HPDirect,HP EliteBook,laptops,5000.0,3,3,4.4,Dubai
BudgetTech,Lenovo IdeaPad,laptops,2000.0,2,1,4.1,Sharjah
SamsungDist,Samsung Odyssey G7,monitors,2500.0,3,2,4.7,Dubai
MousePadHQ,Logitech MX Master 3S,mice,380.0,1,1,4.9,Dubai
RazerStore,Razer DeathAdder,mice,250.0,2,2,4.5,Dubai
CloudServe,AWS Credits,cloud services,5000.0,0,0,4.9,Global
